00:10:26 2018-10-22 10662 [debug_log] Starting installation of module: base 
00:10:26 2018-10-22 10662 [debug_log] owa_request Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_session Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_document Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_feed_request Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_click Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_ua Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_referer Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_site Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_visitor Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_host Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_exit Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_os Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_impression Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_configuration Table Created. 
00:10:27 2018-10-22 10662 [debug_log] owa_user Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_domstream Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_action_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_search_term_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_ad_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_source_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_campaign_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_location_dim Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_commerce_transaction_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_commerce_line_item_fact Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_queue_item Table Created. 
00:10:28 2018-10-22 10662 [debug_log] owa_site_user Table Created. 
00:10:28 2018-10-22 10662 [debug_log] Post install proceadure was a success. 
00:10:28 2018-10-22 10662 [debug_log] Module base activated 
00:10:28 2018-10-22 10662 [debug_log] Installation complete. 
00:10:28 2018-10-22 10662 [debug_log] Checking for existence of default site. 
00:10:28 2018-10-22 10662 [debug_log] Created default site. 
00:10:28 2018-10-22 10662 [debug_log] Install Complete Flag added to configuration 
00:21:24 2018-10-22 8504 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
00:22:43 2018-10-22 11015 [debug_log] Configuration changes saved to database. 
09:27:18 2018-11-02 16939 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
11:11:28 2018-11-15 31121 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
08:29:36 2018-11-17 4243 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
12:46:14 2018-11-17 7088 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
12:54:26 2018-11-17 30820 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:34:53 2018-11-17 4122 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:36:27 2018-11-17 4845 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:39:10 2018-11-17 8775 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
13:44:42 2018-11-17 29354 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:38:37 2018-11-17 17070 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
14:42:26 2018-11-17 929 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
15:28:53 2018-11-17 30839 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:30:02 2018-11-17 2146 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:36:49 2018-11-17 20706 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
16:53:10 2018-11-17 30980 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
17:06:19 2018-11-17 24963 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
18:58:50 2018-11-17 6317 [debug_log] no rss content found at: http://www.openwebanalytics.com/?feed=rss2 
